chr	start	end
chr20	16885451	16885710
chr15	91025601	91026010
chr10	71389601	71390410
chr1	201277051	201277660
chrX	37079051	37079460
chr8	31654151	31654360
chr2	18586001	18586360
chr1	186124701	186125210
chr11	44131701	44132210
chr11	32356401	32356660
chr1	213088651	213089060
chr8	48281951	48282260
chr13	45883501	45883960
chr12	64943251	64943760
chr3	37588451	37588760
chr5	177547701	177548310
chr21	28089351	28089910
chr4	48129701	48130210
chr10	125755151	125755760
chr3	67408251	67408660
chr17	74275501	74276010
chr2	121665451	121665710
chr2	207094851	207095110
chr2	95996201	95996510
chr12	24748651	24748910
chr22	20226001	20226460
chrX	6966101	6966260
chr14	21131151	21131510
chr2	13342101	13342410
chr5	131398951	131399710
chr15	45814551	45815010
chr17	31268451	31268810
chr3	122577201	122577560
chr7	10168401	10168760
chr16	12189001	12189510
chr1	27970351	27970910
chr9	92815401	92815610
chr3	182803451	182803760
chr2	118804201	118804610
chr11	102323351	102323660
chr10	49652951	49653310
chr13	53772251	53772410
chr16	69085501	69085610
chr5	150369301	150369560
chr15	33992801	33993360
chr11	86807051	86807260
chr6	39277651	39278160
chr15	90216351	90216710
chr3	87018901	87019360
chr2	220406151	220406910
chr2	213727851	213728260
chr5	68303551	68304060
chr6	30883301	30883660
chr17	73857351	73857760
chr2	241790551	241791060
chr14	22733251	22733510
chr6	138611001	138611260
chr5	149903201	149903760
chr11	18785701	18786260
chrX	25541751	25542010
chr2	65483251	65483560
chr2	118571801	118572410
chr8	142011201	142012010
chr19	51524251	51524660
chr1	160027851	160028310
chr3	62819201	62819560
chr5	73079651	73080010
chr5	139012801	139013460
chr9	33921951	33922360
chr20	56384751	56384860
chr17	79634951	79635160
chr19	10534801	10535460
chr13	53239501	53239860
chr14	22515451	22515660
chr22	22676351	22676710
chr6	127587501	127588010
chr2	201523351	201523410
chr2	74710151	74710760
chr6	35262051	35262510
chr10	106402401	106402760
chr17	80065401	80065660
chr9	546951	547260
chr4	113554551	113554960
chr7	90149851	90150160
chr2	39286451	39286960
chr6	147326701	147326960
chr17	38136651	38137160
chr4	87515451	87515660
chr11	123278001	123278510
chr8	38327651	38327960
chr20	49365801	49366310
chr18	45282701	45283210
chr3	72715201	72715710
chr3	189369951	189370110
chr6	107976551	107976710
chr8	67340951	67341410
chr4	151218951	151219410
chr16	19595001	19595460
chr17	54669751	54670310
chr6	27129601	27130160
chr3	121248201	121248560
chr14	52445751	52446260
chr11	69616251	69616710
chr19	14665351	14665510
chr8	27584701	27585210
chr14	23028451	23028760
chr2	36734451	36734960
chr1	45073951	45074160
chr10	12294951	12295160
chr2	135208301	135208910
chr12	132856601	132856760
chr19	12907251	12907760
chr15	45903501	45903960
chr17	74462001	74462560
chrX	103072401	103072810
chr1	212434701	212435360
chr3	120226001	120226460
chr5	142074051	142074260
chr1	22469751	22470110
chr5	145945301	145945710
chr4	100806201	100806610
chr1	68585751	68586310
chrX	25446051	25446260
chr3	39748801	39749210
chr6	139014351	139014810
chr3	186258251	186258710
chr21	38623251	38623610
chr18	13726401	13726610
chr13	72453351	72453760
chr17	74299201	74299610
chrX	148552401	148552860
chr3	49937251	49937710
chr2	105730901	105731360
chr9	113800151	113800560
chr1	94504951	94505510
chr20	22832351	22832760
chr6	55482051	55482460
chr9	73243951	73244310
chr10	75863351	75863660
chr3	170886051	170886210
chr14	70183651	70184010
chr3	111686501	111686960
chr16	4408951	4409510
chr1	36181001	36181510
chr17	17173301	17173610
chr4	89712451	89712810
chr6	150067301	150067810
chr3	99466951	99467210
chr2	10264601	10265060
chr9	77259901	77260360
chr10	6193351	6193760
chr8	145980501	145981260
chr1	112312151	112312610
chr3	127413251	127413610
chr7	122794251	122794760
chr16	51410001	51410360
chr2	72595001	72595360
chr9	130616451	130616810
chr12	51158651	51159460
chr11	44642651	44643110
chr10	82778851	82779460
chr1	152154801	152155510
chr9	139944151	139944610
chr1	242059501	242060160
chr12	124853401	124853710
chr17	35596601	35597060
chr1	2313101	2313760
chr16	66864401	66865210
chr20	30421151	30421760
chr8	76990351	76990610
chr19	56187751	56188060
chr10	117114601	117115110
chr2	26800601	26801160
chr10	3088001	3088210
chr6	91006551	91006910
chr12	10388351	10388810
chr3	132118151	132118560
chr5	114405051	114405460
chr1	45765851	45766360
chr3	190101951	190102510
chr1	152469651	152470360
chr2	28472901	28473060
chr2	11558101	11558460
chr1	174122601	174122760
chr1	29529351	29529860
chr4	177930051	177930360
chr3	182627051	182627460
chr8	131663251	131663760
chr8	125900751	125901560
chr4	48447651	48448010
chr1	153330201	153330310
chr9	19048901	19049460
chr17	7489951	7490460
chr22	43583451	43583810
chr2	173065251	173065610
chr12	48357001	48357560
chr5	138604251	138604510
chr2	10939051	10939210
chr4	73361901	73362260
chr11	58552551	58552760
chr12	59198551	59198910
chr3	125986451	125986710
chr2	69066351	69066760
chr16	31467001	31467360
chr9	92217851	92219110
chr11	78356201	78356760
chr1	8922451	8922960
chr4	29101	29460
chr13	45392651	45392860
chr5	6712901	6713210
chr3	103821151	103821560
chr2	18568801	18569410
chr10	43950951	43951560
chr1	201425701	201425810
chr10	108038201	108038410
chr6	147830151	147830460
chr13	107796801	107797110
chr16	2969601	2970110
chr9	131755351	131755610
chr15	96870401	96870910
chr5	138629951	138630310
chr17	27573901	27574060
chr9	81476101	81476310
chr12	106542851	106543310
chr18	73439401	73439810
chr19	46073051	46073560
chr7	75943451	75944060
chr21	42493701	42494210
chr1	147112351	147113010
chr7	99013201	99013510
chrX	8147751	8147960
chr10	100227151	100227610
chr1	203008151	203009660
chr9	129160701	129161210
chr11	45126951	45127560
chr10	6709601	6710110
chr1	219365351	219365610
chr19	19106551	19106910
chrX	15515951	15516460
chr22	18558751	18559260
chr6	7641651	7641710
chr17	45879701	45880160
chr2	53650001	53650460
chr1	245316101	245317060
chr11	44972301	44972910
chr2	238832201	238832710
chr13	101298551	101298960
chr17	74835851	74836210
chr8	133887501	133888210
chr9	136592551	136592710
chr19	11571051	11571310
chr16	3314201	3314510
chr1	63614701	63615110
chr3	141030601	141031010
chr11	18274851	18274910
chr14	74769501	74770110
chr19	8942701	8943110
chr18	57450251	57450710
chr5	166688701	166689110
chr2	188317801	188318160
chr20	30623001	30623110
chr5	139256951	139257260
chr12	124832451	124832910
chr7	14029151	14029560
chr20	62273451	62273810
chr6	1596401	1596960
chr1	203024451	203024560
chr10	15251751	15252260
chr5	149942251	149942810
chr10	48335001	48335260
chr5	88020001	88020360
chr17	76346551	76346710
chr11	76432701	76433260
chr7	87193551	87194010
chr2	74494201	74494560
chr20	11696851	11697210
chr9	136858001	136858510
chr1	240168651	240169060
chr12	116360801	116361110
chr20	8062651	8063060
chr17	70426901	70427460
chr13	26951151	26951560
chr12	48591251	48591610
chr18	56328701	56329060
chr12	7315201	7315610
chrX	12912151	12912710
chr17	40825851	40826410
chr20	20217951	20218460
chr16	30640051	30640510
chr7	42111601	42111910
chr4	25793801	25794260
chr4	81105051	81105760
chr4	67606851	67607010
chr12	82021301	82021760
chr16	24021751	24022210
chr17	73513651	73513910
chr12	96883051	96883560
chr14	101112051	101112560
chr5	99647651	99647760
chr11	73938001	73938210
chr14	23589901	23590510
chrX	139900101	139900510
chr7	92463051	92463410
chr6	112042901	112043310
chr11	119565151	119565460
chr4	29972201	29972610
chr6	121376651	121377110
chrX	116061101	116061210
chr8	72722951	72723460
chr12	16838101	16838360
chr2	121282951	121283110
chr14	22508501	22508910
chr18	55861401	55861610
chr7	118837851	118838410
chr6	14067001	14067460
chr15	45005851	45006160
chr5	37495351	37495510
chr18	29133851	29134060
chr3	13133601	13134110
chr1	36981901	36982410
chr9	89988801	89989110
chr9	122731301	122731810
chr2	240065501	240065960
chr8	112976401	112976910
chr11	62001251	62001560
chr3	86294551	86294860
chr5	124082201	124082410
chrX	22766501	22766960
chr20	47863001	47863410
chr10	88963201	88963410
chr20	6810351	6810660
chr14	54955151	54955410
chr6	12311301	12311710
chr1	153755801	153756160
chr8	17104201	17104460
chr1	215755251	215755560
chr1	199519751	199519960
chr9	72955551	72955860
chr20	34051351	34052010
chr8	111571751	111572210
chr19	5987301	5987810
chr17	74404501	74405060
chr1	65541051	65541510
chr7	4519051	4519460
chr2	230045301	230045760
chr9	95882151	95882460
chr14	54795801	54796260
chr1	183441151	183441460
chr3	51426701	51427260
chr4	159174451	159174910
chr1	220259551	220259810
chr1	241997301	241997560
chr22	31688351	31688710
chr1	179262701	179263210
chr16	84705851	84706360
chr12	20046451	20046810
chr5	177706751	177707510
chr6	17505201	17505560
chr2	33597951	33598460
chr3	129344401	129344610
chr5	52216901	52217010
chr1	246149601	246150110
chr5	129106901	129107510
chr19	56582501	56582810
chr17	62359251	62359860
chr14	76922551	76922960
chr14	70051651	70052060
chrX	132305951	132306410
chr6	90996601	90997110
chr1	236474351	236474660
chr17	47300751	47301360
chr10	108384501	108385060
chr14	71439051	71439610
chr14	87469251	87469510
chr12	861951	862360
chr7	139025801	139026160
chr4	88071901	88072360
chr7	25934951	25935360
chr6	81452251	81452610
chr2	142156851	142157210
chr2	86524601	86524760
chr2	45870701	45871260
chrX	16156201	16156460
chr22	42062601	42063110
chr15	78715151	78715660
chr9	98841451	98841760
chr22	24200601	24200660
chr2	37515151	37515460
chr1	220899901	220900360
chr9	129967451	129967760
chr6	149068601	149069060
chr2	62020451	62020860
chr3	107471501	107471810
chr4	11625351	11625710
chr22	19628901	19629210
chr18	77006451	77006960
chr16	86553601	86554110
chr14	91224701	91225210
chr3	185293251	185293560
chr5	129242351	129242610
chr5	160962851	160963110
chr11	12037851	12038110
chr7	42980751	42981260
chr2	196398551	196398760
chr4	190671401	190671660
chr19	2089151	2089560
chr17	37683451	37683860
chr3	134211251	134211760
chr2	24451301	24451760
chr20	58800051	58800410
chr12	102694851	102695260
chr17	62915551	62915810
chr19	47082901	47083210
chr9	98104001	98104160
chr5	128606951	128607360
chr11	82393251	82393660
chr10	93616401	93616760
chr8	66618201	66618660
chr14	50320501	50320960
chr1	233431201	233431460
chr10	74124001	74124460
chr2	20525851	20526360
chr3	126108001	126108810
chr7	106587651	106588060
chrX	128888701	128888910
chr18	47730101	47730760
chr6	57539251	57539760
chrX	152094801	152095160
chr13	100269651	100270010
chr7	115803151	115803360
chr3	136471851	136472060
chr19	33675051	33675510
chr6	116408701	116408960
chr2	220025451	220025760
chr19	54672151	54672610
chr12	15148701	15149160
chr3	4626201	4626410
chr8	12990601	12990860
chr7	7221401	7221510
chr3	117245301	117245760
chr13	50422001	50422560
chr12	8198551	8199060
chr8	109715951	109716460
chr2	73587401	73587810
chr15	35261901	35262310
chr4	94786851	94787160
chr8	43264951	43265310
chr17	56190351	56190810
chr12	54762401	54762910
chr17	7388151	7388310
chr3	23875601	23875910
chr11	34607701	34608210
chr3	10364001	10364360
chr9	135144101	135144660
chr5	141303401	141303560
chr4	148082001	148082460
chr19	4730751	4731110
chr17	64902751	64903260
chr9	107919351	107919760
chr12	2750401	2750660
chr2	91779401	91779510
chr16	67233101	67234210
chr3	126465351	126465660
chr10	118414451	118414660
chr16	81771551	81772060
chr6	133952601	133952860
chr15	68851851	68852460
chr2	224111851	224112210
chr6	161088901	161089360
chr2	10444201	10444460
chr17	39822051	39822710
chr1	164743701	164743910
chr3	113296651	113297060
chr18	28786701	28787060
chr1	225040201	225041210
chr17	35930551	35931010
chr7	77669501	77669860
chr11	92798501	92798810
chr2	233717801	233718210
chr2	105420651	105420860
chr19	57917851	57918310
chr4	34768651	34768860
chr7	134197851	134198360
chr1	247522251	247522410
chrX	23422051	23422310
chr3	18930001	18930110
chr12	38532351	38532910
chr6	74990101	74990310
chr3	133916501	133916910
chr6	31410351	31410610
chr3	12761501	12762010
chr4	55051651	55051810
chr17	46103551	46104210
chr14	24008751	24009210
chr2	197940501	197940860
chr2	39455151	39455710
chr1	205312801	205313410
chr22	39710351	39710560
chr5	125835551	125836060
chr19	40030701	40031160
chr3	64384801	64385310
chr6	32982551	32982910
chr18	58352051	58352560
chr4	57507601	57507810
chr17	43238251	43238560
chr6	27719951	27720460
chr2	167395851	167396310
chr19	10810351	10810860
chr16	24053351	24053810
chr2	139081751	139081860
chr13	110760551	110760760
chr6	84228951	84229060
chrX	153044301	153044560
chr7	93429051	93429460
chr8	117460001	117460560
chr2	113032901	113033160
chr8	37551901	37552260
chr11	65183751	65184360
chr2	192734051	192734360
chr20	39874101	39874410
chr1	176435701	176436010
chr5	167315401	167315610
chr5	109024301	109024710
chr20	56808951	56809360
chr2	150185601	150185960
chr18	72675751	72676160
chr15	68831401	68831710
chr1	7707251	7707710
chr6	125435401	125435810
chr3	17274851	17275260
chr9	35696451	35697010
chr18	21085451	21085860
chr5	148998151	148998860
chr19	13955151	13955460
chr1	210484051	210485060
chr9	72037051	72037510
chr2	62639101	62639660
chr3	192520751	192521160
chr2	227859601	227859810
chr7	102092051	102092260
chr12	133176951	133177410
chr1	160847051	160847260
chr5	41636751	41637060
chr6	107318751	107319310
chr1	177324701	177325160
chr12	53374551	53375110
chrX	17011951	17012260
chr12	121821401	121821560
chr18	27772351	27772510
chr18	60381901	60382410
chr10	129153301	129153510
chr11	108093551	108093960
chr2	202042101	202042510
chr19	15264801	15265160
chr1	10488051	10488560
chr5	43389701	43390360
chr6	31459751	31459960
chr12	77015251	77015760
chr17	37400951	37401510
chr17	43797201	43797510
chr6	41703051	41703610
chr17	27864001	27864410
chr1	186775651	186776010
chr14	70285351	70285860
chr3	186567151	186567510
chr7	25138001	25138460
chr3	21212451	21212860
chr4	159499601	159500060
chr15	69022701	69023160
chr11	76802101	76802710
chr5	6780951	6781210
chr14	100448751	100449260
chr8	73559851	73560160
chr12	64233101	64233560
chr20	49604201	49604660
chr19	5340051	5340460
chr6	25070951	25071460
chr14	22688351	22688610
chr5	23332751	23333160
chr12	89918451	89919010
chr1	245710301	245710510
chr19	48372051	48372560
chr2	11270051	11270410
chr6	37096351	37096460
chr14	91604851	91605210
chr3	148579001	148579460
chr11	73675301	73675810
chr16	761601	762160
chr1	28414401	28414710
chr8	126969951	126970410
chr7	139024801	139025260
chr3	118753601	118754010
chr1	101939601	101940010
chr7	92157751	92158210
chr7	127660201	127660610
chr12	125314051	125314360
chr16	793951	794060
chr6	31553451	31553560
chr6	42976901	42977260
chr18	43245051	43245510
chr13	100258251	100258510
chr11	62360951	62361460
chr3	193383151	193383560
chr11	76758701	76759060
chr2	173730151	173730460
chr5	68258651	68259160
chr11	73336701	73337160
chr3	12750401	12750710
chr1	25071351	25071510
chr16	50855551	50855860
chr4	6697401	6697910
chr9	89048851	89049310
chr19	1945951	1946310
chr1	26690251	26690810
chr20	16615251	16615710
chr5	308751	309310
chr14	67802501	67802910
chr1	93914701	93915060
chr3	111434701	111435210
chr21	9825401	9827660
chr9	85696351	85696460
chr2	95742451	95743010
chr2	234352151	234352610
chr4	12730951	12731410
chr22	50936601	50937060
chr11	124648251	124648510
chr12	25005351	25005710
chr3	174338001	174338360
chr8	91513501	91513960
chr6	81047851	81048360
chr9	89563351	89563810
chr1	66798001	66798010
chr1	182167101	182167610
chr12	122106601	122107010
chr19	16497351	16497860
chr7	123741201	123741660
chr10	556901	557360
chr16	55677151	55677460
chr19	2613601	2614260
chr22	29985901	29986260
chr15	65888351	65888610
chr1	150436751	150437310
chr1	19201601	19202160
chr10	30676501	30676910
chr4	156292651	156293060
chr1	120286551	120287160
chr12	83655901	83656060
chr13	52389201	52389760
chr3	37953601	37953860
chr2	99795601	99795960
chr3	128506201	128506410
chr5	141977501	141977960
chr2	191193551	191193810
chr3	186868501	186868760
chr1	204910601	204911460
chr9	31119851	31120310
chr2	233918551	233919110
chr1	36034451	36035010
chr7	2904551	2905110
chr5	177711001	177711610
chr6	158635101	158635560
chr3	126658251	126658610
chr3	171364151	171364510
chr8	60740951	60741260
chr9	109048651	109048810
chr5	168414451	168415110
chr4	164509151	164509360
chr17	48775301	48775560
chr5	148648351	148649060
chr6	124123651	124124110
chr9	35665151	35665560
chr7	126798701	126799110
chr7	116356951	116357010
chr2	171622551	171622710
chr3	78215051	78215360
chr5	13101	13410
chr3	93820801	93821010
chr5	98504951	98505310
chr1	17564201	17564460
chr12	63462601	63463010
chr17	7298201	7298560
chr2	110369251	110369410
chr20	34472101	34472610
chr9	9352901	9353260
chrX	23097501	23097810
chr4	166760901	166761110
chr10	24792501	24793010
chr10	92511151	92511560
chr9	1940051	1940460
chr1	89449551	89449910
chr13	46064251	46064610
chr1	32713751	32714210
chr19	9945801	9946160
chr16	57610251	57610760
chr22	36326951	36327360
chr5	90089101	90089360
chr21	37987651	37987910
chr1	66414751	66414860
chr18	21078651	21079210
chr16	2977001	2977510
chr3	100369651	100369860
chr11	58397351	58397710
chr14	36003401	36003660
chr3	73557501	73557910
chr10	118927501	118928160
chr17	45078451	45078960
chr6	29617851	29618260
chr1	209603001	209603610
chr17	7492501	7493310
chr19	42617901	42618260
chr2	165286701	165287110
chr7	47798601	47799010
chr16	47052051	47052460
chr5	172093451	172093610
chr3	112156451	112156860
chr20	2082801	2083210
chr20	57630351	57630710
chr3	151045301	151045860
chr19	47713901	47714360
chr3	11693451	11693810
chr1	216085001	216085260
chr2	121941901	121942310
chr7	158622601	158622860
chr2	147840351	147840860
chr11	94501251	94501410
chr12	74809401	74809860
chr11	13508751	13509010
chr20	13768801	13769210
chr11	57227701	57228160
chr12	6888001	6888560
chr14	45272451	45272860
chr10	45353201	45353610
chr3	22963851	22964210
chr15	80285701	80286210
chr2	71679701	71680010
chr7	104362301	104362510
chr2	26778501	26778760
chr1	230222701	230223360
chr11	60666751	60667260
chr16	69117501	69117760
chr6	1477651	1477960
chr13	45148301	45148660
chr9	95090551	95090810
chr16	53580851	53581110
chr9	138859251	138859910
chr6	31461551	31461910
chr16	72881051	72881410
chr4	1695001	1695610
chr18	42966201	42966660
chr17	55969751	55970360
chrX	98556951	98557360
chrX	80745551	80745860
chr8	38268901	38269510
chr8	133663651	133664260
chr5	97742601	97742810
chr8	144313601	144314010
chr19	14582951	14583510
chr7	105080151	105080310
chr3	122473651	122474110
chr13	26611401	26611810
chr2	70830401	70830460
chr5	72378901	72379310
chr4	5636501	5636710
chr2	113699301	113699760
chrX	146132851	146133110
chr10	73028101	73028510
chr1	88419351	88419860
chr2	209121151	209121510
chr9	130374651	130374860
chr1	152843251	152844360
chr22	20117801	20118060
chr17	45971801	45972060
chr1	42642501	42643060
chrX	67819401	67819810
chr2	231663501	231663960
chr10	105471401	105471660
chr20	2502151	2502810
chr9	81848451	81848860
chr12	18377701	18378060
chr11	70023351	70023760
chr5	64959951	64960310
chr20	39370101	39370560
chr2	42555551	42556010
chr12	108851001	108851510
chr5	141439201	141439360
chr1	214834151	214834760
chr3	71071851	71072110
chr20	43919451	43920010
chr1	41939551	41939660
chr19	41055001	41055510
chr7	134231751	134232560
chr15	82339301	82339860
chr3	128513851	128514310
chr10	73533051	73533610
chr3	17237401	17237510
chr12	124816601	124816960
chr1	43201801	43202160
chr17	74609351	74609660
chr4	171059701	171060210
chr19	30162401	30162910
chr8	30239701	30240160
chr14	21081451	21081960
chr12	114404101	114404560
chr13	80123101	80123410
chr17	2729501	2729710
chr18	30129151	30129660
chr1	223993651	223993960
chr1	145086851	145087260
chr20	1484151	1484810
chr2	158354101	158354560
chr2	213393251	213393510
chr17	27912051	27912310
chr2	207665201	207665660
chr8	140641301	140641660
chr8	102171851	102171960
chr15	72878101	72878310
chr14	21074401	21074860
chr4	15683201	15683610
chr20	37893051	37893610
chr7	134199251	134199760
chr1	211829401	211829510
chr19	14258851	14259310
chr5	122110751	122111110
chr11	86689751	86690260
chr4	16207051	16207610
chr5	125171251	125171610
chr19	55929451	55929960
chr21	33941801	33942510
chr16	642401	642860
chr2	178557551	178557910
chr1	1875301	1875960
chr17	78965451	78965710
chr7	76977901	76978110
chr8	131455501	131456060
chr17	44079901	44080260
chr14	23122201	23122660
chr5	142034201	142034410
chr11	16806951	16807560
chr2	176045701	176046010
chr10	7074001	7074360
chr4	119597301	119597560
chr19	17494851	17495160
chr5	180688751	180689210
chr1	241682351	241682610
chr2	46220351	46220960
chr16	48147401	48147760
chr6	162620051	162620310
chr14	28611651	28612010
chr9	125987751	125988160
chr5	99959451	99959810
chr12	66067551	66067960
chr14	50234501	50235060
chr5	31270501	31270910
chr6	43037701	43038110
chr9	112650101	112650510
chr3	32060501	32061010
chr9	123834301	123834660
chr3	72871501	72871910
chr1	210502001	210502460
chr11	46558801	46559060
chr2	20405851	20406160
chr9	16257601	16257960
chr19	37718951	37719260
chr2	71297451	71297760
chr14	23525251	23525810
chr1	174956151	174956310
chr17	43176401	43177010
chr8	9606651	9606960
chr10	28682851	28683360
chr6	18997551	18998010
chr17	42296301	42297210
chr1	239171751	239172260
chr17	37080201	37080510
chr8	102559601	102559810
chr4	99708101	99708310
chrX	13664151	13664610
chr17	7339051	7339410
chr14	36783201	36783410
chr1	184357101	184357260
chr1	113931251	113931460
chr13	47548001	47548510
chr1	225853251	225853410
chr1	24181051	24181460
chr12	112383051	112383410
chr1	223902451	223903360
chr9	33720051	33720460
chr1	150186101	150186510
chr1	236911751	236912260
chr1	91995351	91995810
chr7	18630351	18630760
chr20	50252651	50252910
chr12	50030651	50031060
chr3	181976351	181976760
chr5	50254701	50255110
chr6	19323051	19323260
chr4	68264101	68266810
chr15	94518251	94518710
chr1	6245801	6246210
chr3	170131801	170132360
chr16	75143901	75144260
chr11	63993601	63993960
chr5	139243401	139244110
chr1	150207601	150207910
chr9	77800501	77800910
chr19	2096801	2097210
chr14	51686501	51686960
chr1	205557751	205558210
chr11	94800101	94800460
chr1	214621951	214622210
chr11	96126901	96127360
chr1	235799601	235799960
chr3	83983401	83983660
chr4	82326851	82327610
chr14	102701551	102702060
chr15	42386851	42387060
chr20	3387851	3388460
chr8	117715351	117715710
chr7	99679301	99679810
chr4	6765251	6765710
chr19	1106901	1107310
chr9	86909551	86909710
chrX	131156101	131156560
chr2	207854001	207854510
chr14	36156501	36156960
chr5	21391601	21391960
chr4	152495301	152495510
chr1	45301451	45301910
chr4	54572501	54573060
chr5	105604901	105605360
chr22	36027651	36028060
