seqnames	start	end
chr12	98772951	98773160
chr1	193724151	193724560
chr2	85413351	85413660
chr9	71300751	71300960
chr5	162733351	162733860
chr13	107029051	107029410
chr1	173217851	173218060
chr1	107077251	107077610
chr11	73834101	73834160
chr18	67753801	67754160
chr8	133009401	133009510
chr5	169856151	169856360
chr2	41047551	41047810
chr10	14242651	14243010
chr15	92934851	92935260
chr7	29894101	29894460
chr2	164983501	164983860
chr2	144332901	144333310
chr8	101637901	101638160
chr2	146303651	146304010
chr10	36070601	36070910
chr1	151976551	151976910
chr6	147704051	147704460
chr7	3901751	3901960
chr16	31286451	31286760
chr10	105512451	105512860
chr7	81406351	81406660
chr18	74771501	74771910
chr21	40525351	40525710
chr4	102109001	102109410
chr13	44806301	44806510
chr11	130401201	130401210
chr13	30070301	30070410
chr14	83261101	83261110
chr1	188675801	188676160
chr10	86308751	86308910
chr5	119949551	119949560
chr14	88354501	88354860
chr7	127190401	127190710
chr8	119931801	119932110
chr11	76086301	76086460
chr2	197615701	197616160
chr3	98307001	98307360
chr13	30046451	30046960
chr22	32079301	32079460
chr1	203365001	203365210
chr11	86282501	86282960
chr9	75207601	75208060
chr1	185287201	185287260
chr2	177894251	177894610
chr1	175501101	175501260
chr16	54480151	54480560
chr17	9671951	9672360
chr1	174713051	174713560
chr4	122173351	122173810
chr9	28330001	28330010
chr17	75737201	75737560
chr3	39854051	39854460
chr4	89735501	89735760
chr1	41957951	41958360
chr1	196394701	196394960
chr6	13969751	13969860
chr15	85861251	85861510
chr5	131525851	131526310
chrX	80067751	80068060
chr5	180240501	180240760
chr12	47344701	47344760
chr5	141744251	141744510
chr15	52199751	52200160
chr13	110764801	110765110
chr6	36881901	36882610
chr9	83718801	83719160
chr13	102593751	102594110
chr9	37410851	37411510
chr8	122167051	122167060
chr2	161860901	161861260
chr5	71433601	71434010
chr6	42499751	42500260
chr8	128626451	128626560
chr5	139580801	139580960
chr1	77882751	77883160
chr1	246772151	246772560
chr2	178637201	178637560
chr8	88121351	88121610
chr15	95835101	95835510
chr11	13509301	13509560
chr6	164235451	164235760
chr1	10516301	10516360
chr10	95457001	95457360
chr2	28196501	28196860
chr1	203720351	203720660
chr6	146216951	146217310
chr9	2121351	2121610
chr15	45933601	45933810
chrX	133861401	133861710
chr1	235720801	235721210
chr17	31003501	31003810
chr13	41548801	41549160
chr4	94921751	94922060
chr12	14066401	14066610
chr4	32464601	32464960
chr1	116676851	116677160
chr8	105488051	105488360
chr6	37621651	37622110
chr7	96225451	96225810
chr7	124342251	124342460
chr8	124852451	124852460
chr1	175793301	175793710
chr14	23548151	23548160
chr9	10232401	10232760
chr5	2848751	2849110
chr4	72049901	72050310
chr1	190460651	190460760
chr1	67833551	67833710
chr1	172747951	172748210
chr10	115740201	115740510
chr1	34106701	34107060
chr18	35056151	35056560
chr5	140566501	140566810
chr20	11566401	11566810
chr6	53844201	53844710
chr4	158138851	158139260
chr19	30492801	30493010
chr6	160263051	160263410
chr5	165809001	165809310
chr15	85712051	85712460
chrX	106196201	106196660
chr6	128289651	128289860
chr13	46015801	46016110
chr20	51908151	51908410
chr1	205908901	205909210
chr17	25533551	25533860
chr6	82160001	82160060
chr5	24368251	24368560
chr1	24961701	24962110
chr11	5621451	5621910
chr11	128757901	128758210
chr20	17939101	17939160
chr21	42443401	42443560
chr5	72063501	72063760
chr2	210328001	210328310
chr3	59129251	59129510
chr3	41244501	41244860
chr16	77410301	77410660
chr1	70975751	70976160
chr11	108911101	108911310
chr11	116607551	116607810
chr3	95733451	95733510
chr10	62406951	62407410
chr4	159417201	159417560
chr10	118871751	118872160
chr22	42770651	42771110
chr1	221941801	221942160
chr14	79368351	79368760
chr12	60044501	60044660
chr4	25047251	25047610
chr2	226327801	226327810
chr2	121444301	121444710
chr6	163328901	163329310
chr12	80280701	80281160
chr5	11320101	11320210
chr1	38385001	38385310
chr18	47813951	47814310
chr1	197584201	197584760
chr22	31001451	31001960
chr20	12551051	12551360
chr1	194071751	194072110
chr15	33494151	33494460
chr3	140999601	140999860
chr4	133478851	133479160
chr12	107485701	107486310
chr12	42189751	42190010
chr19	11434601	11434610
chr8	21826551	21826910
chr4	66808901	66809060
chr4	158726151	158726510
chr10	94598951	94599210
chr15	45958401	45958660
chr6	13398001	13398360
chr2	29540001	29540060
chr10	67871851	67872060
chr4	166458151	166458560
chr16	79368151	79368510
chr1	113652801	113653110
chr1	182740801	182740960
chr7	50894701	50894860
chr2	143436451	143436660
chr2	50703351	50703710
chr8	119776901	119777160
chr1	78104901	78105160
chr5	173891501	173891910
chr19	39176401	39176810
chrX	141648201	141648310
chr8	118031501	118031910
chr1	72059251	72059510
chr11	9114751	9115060
chr7	92857551	92857960
chr17	59078401	59078510
chr5	136711051	136711210
chr16	53779901	53780160
chr10	33616701	33617110
chr1	216843451	216843810
chr6	89949051	89949410
chr3	82546301	82546660
chr18	38975701	38976060
chr16	82789301	82789460
chr5	61064451	61064960
chr11	72906451	72906760
chr13	108302401	108302860
chr2	224321351	224321410
chr4	151788201	151788660
chr2	114477751	114478110
chr16	67670601	67670760
chr11	111789551	111789560
chr5	38781101	38781460
chr2	14591501	14591760
chr22	40204101	40204460
chr6	155587351	155587610
chr10	27673051	27673060
chr1	101985751	101986210
chr1	165912601	165912810
chr1	167533851	167534210
chr1	198245851	198246160
chr1	53935751	53936160
chr4	23883601	23883810
chr13	50134501	50134760
chr1	229142101	229142560
chr17	45054801	45054960
chr4	93656251	93656510
chr20	3474901	3475260
chr6	152527601	152527960
chr4	177972601	177973010
chr12	31812051	31812310
chr16	24700451	24700860
chr1	114519551	114519860
chr9	18297501	18297860
chr4	68259401	68259860
chr11	15873751	15874110
chr14	96146801	96147010
chr17	9793401	9793810
chr18	35947501	35947810
chr1	245663901	245664310
chr9	2600401	2600660
chr9	38417001	38417410
chr7	2476901	2477060
chr4	55101051	55101260
chr12	87660201	87660360
chr1	159059001	159059410
chr21	28141901	28142310
chr13	65104051	65104410
chr5	71610601	71610960
chr2	153572301	153572760
chr15	72578251	72578660
chr1	177519951	177520210
chr9	80408951	80409160
chr4	14145551	14145860
chr11	61889651	61889860
chr7	92874801	92875260
chr13	27913101	27913210
chr1	226738051	226738610
chr16	75419401	75419860
chr5	71131951	71132260
chr2	75708101	75708360
chr18	4017551	4017760
chr12	49504451	49504810
chr11	102195901	102196160
chr20	56121101	56121110
chr10	75023551	75024010
chr9	111696151	111696460
chr1	241790651	241791510
chr1	167029751	167030110
chr1	234108851	234109160
chr7	143836651	143836810
chr1	202937851	202938610
chr3	55919751	55920060
chr1	218648601	218648960
chr6	114257201	114257710
chr12	59441001	59441260
chr5	39137851	39138160
chr2	216673751	216673960
chr16	5074651	5075060
chr8	73454701	73455110
chrX	45708701	45709110
chr12	121571051	121571260
chr8	119674601	119675010
chr17	29543151	29543610
chr18	45991601	45991960
chr1	246052051	246052560
chr5	31196551	31196710
chr3	27270401	27270660
chr12	89027101	89027460
chr8	97778901	97779110
chr2	143791801	143792410
chr10	15627201	15627660
chr17	62308401	62308460
chr1	212103201	212103210
chr4	119786251	119786710
chr14	88362751	88363210
chr8	101586101	101586610
chr8	129133101	129133260
chr2	135249451	135249710
chr14	61491901	61492360
chr1	212923001	212923710
chr1	190723901	190724260
chr9	3893701	3893760
chr13	80938051	80938460
chr6	19452851	19452910
chr18	42594251	42594510
chr2	101868201	101868910
chr15	75086001	75086310
chr22	31650101	31650260
chr2	202615301	202615610
chr6	119217651	119218110
chr10	128096501	128096560
chr2	28030351	28030760
chr15	80912101	80912410
chr8	64174451	64174860
chr2	230296051	230296410
chr5	54467851	54468310
chr6	133890751	133891110
chr3	21881251	21881460
chr6	8462501	8462760
chr12	90356601	90356860
chr9	71189101	71189410
chr2	227487251	227487560
chr13	92228901	92229210
chr1	203186401	203186810
chr3	9768801	9769260
chr13	46038651	46038960
chr5	145081001	145081310
chr1	242590001	242590360
chr1	213141051	213141610
chr17	10130151	10130560
chr18	66327601	66328010
chr15	72674601	72674810
chr16	2904701	2905060
chr18	52442951	52443310
chr8	59161701	59162060
chr5	167741751	167742410
chr8	140209551	140209710
chr5	66110151	66110660
chr4	91703351	91703360
chr8	66690901	66691110
chr1	192988501	192989010
chr1	17236301	17236660
chr8	35744601	35745010
chrX	15930401	15930560
chr9	25716251	25716660
chr2	54725251	54725510
chr1	199256951	199257060
chr3	61922001	61922410
chr1	168356601	168356960
chr4	109664351	109664510
chr15	50527201	50527260
chr13	45222601	45222960
chr12	86266251	86266660
chr13	20928201	20928410
chr11	14170151	14170610
chr10	59093751	59093860
chr12	40663001	40663210
chr6	138243151	138243360
chr1	203562701	203563210
chr12	68436251	68436560
chr1	206780051	206780810
chr1	202662101	202662460
chr13	42613851	42614010
chr13	103310051	103310360
chr1	169695551	169695610
chr10	122829801	122830160
chr4	181585901	181586360
chr17	6135751	6135760
chr10	14344101	14344360
chr7	84244151	84244460
chr2	117370951	117371210
chr5	147505251	147505610
chr18	13909551	13909810
chr1	222340251	222340860
chr6	1309601	1309710
chr1	222880251	222880460
chr11	85752901	85753360
chr6	155902101	155902360
chr20	22470851	22471160
chr1	159391651	159392060
chr14	39888551	39888760
chr2	239276401	239276610
chr1	12074401	12074660
chr6	140216601	140216860
chr4	31795601	31795810
chr1	72503401	72503810
chr12	104099751	104100060
chr9	86552751	86553160
chr1	35012651	35012960
chr1	183866551	183866560
chr21	35463901	35464260
chr12	55142901	55143410
chr1	33520701	33521560
chr1	177398401	177398760
chr10	31666801	31666810
chr5	106724851	106725060
chr2	232660151	232660710
chr8	107093101	107093660
chr4	88418351	88418660
chr4	86165151	86165260
chr16	86341201	86341360
chr5	76534951	76535360
chr6	57499801	57500160
chr6	152086551	152087010
chr5	163768201	163768560
chr13	58132301	58132660
chr5	150999401	150999510
chr6	71081201	71081610
chr6	117509951	117510410
chr4	4509701	4510060
chr6	68906601	68906910
chr12	78864351	78864710
chr14	69001901	69001910
chr1	200527801	200528460
chr4	71377151	71377360
chr10	90217551	90217760
chr11	63669201	63669510
chr1	93049901	93050210
chr13	48369101	48369510
chr7	48376601	48377010
chr5	128461401	128461660
chr4	74300051	74300410
chr17	17343301	17343710
chr5	95510851	95511210
chr16	82049901	82050260
chr3	58235701	58235810
chr8	10047551	10047760
chr11	13986151	13986410
chr1	32469151	32469560
chr1	92791951	92792060
chr4	148299951	148300310
chr4	107971651	107972110
chr4	57702801	57703210
chr12	117151501	117151610
chr1	31874201	31874260
chr14	66299551	66299810
chr15	68132401	68132660
chr12	27885251	27885560
chr1	152758451	152758760
chr6	128277451	128277760
chr12	18399001	18399310
chr11	102981151	102981510
chr8	115631201	115631610
chr15	39920351	39920610
chr17	69457101	69457460
chr10	63044001	63044460
chr21	30153951	30154310
chr11	92981801	92982160
chr2	204835251	204835260
chr18	53966201	53966510
chr6	13927451	13927710
chr7	80288751	80289210
chr10	29947851	29948160
chr2	206404451	206404660
chr2	169471251	169471560
chr5	39948951	39949360
chr7	10759751	10759960
chr2	29238101	29238260
chr1	211909851	211909960
chr18	22027201	22027460
chr5	130109551	130109910
chr19	44023601	44024060
chr11	46097501	46097810
chr10	94724951	94725360
chr8	103742151	103742460
chr12	81001551	81001860
chr1	210099501	210099710
chr12	121622301	121622660
chr1	27187701	27188010
chr8	24973651	24973810
chr5	35202451	35202860
chr12	18028201	18028560
chr6	116392651	116392660
chr3	72036201	72036560
chr1	242588501	242588910
chr2	195031601	195031910
chr11	11917251	11917560
chr3	54925651	54925960
chr6	65215251	65215560
chr4	95092801	95093110
chr5	107132601	107132810
chr22	43176051	43176510
chr5	37555051	37555410
chr5	138529651	138529960
chr18	69452051	69452360
chr22	47229151	47229460
chr16	82705301	82705710
chr1	109782051	109782460
chr2	160025251	160025560
chr6	89175501	89175860
chr7	32301601	32301710
chr2	24835901	24836310
chr18	23683601	23683860
chr5	122893801	122893810
chr4	30271501	30271860
chr13	34618801	34618960
chr6	64281651	64281910
chr15	101832351	101832510
chr2	180741101	180741310
chr7	34224151	34224360
chr1	222019201	222019610
chr11	19679901	19680260
chr4	128522201	128522560
chr7	51707451	51707610
chr12	54224601	54224610
chr5	156694801	156695060
chr8	122514951	122514960
chr12	92964001	92964510
chrX	103614901	103615160
chr7	108446251	108446610
chr18	60125701	60125860
chr1	202312551	202313360
chr5	152515051	152515360
chr6	134294501	134294910
chr4	44631301	44631660
chr6	76603001	76603460
chr14	40201201	40201460
chr4	46105101	46105210
chr1	83030951	83031260
chr11	94254901	94255210
chr1	91492301	91492660
chr14	56188151	56188260
chr2	9012951	9013410
chr11	83512901	83513160
chr5	132682801	132683010
chr1	223819101	223819410
chr3	34429701	34429960
chr10	59628451	59628560
chr1	188684751	188685010
chr2	66028151	66028510
chr7	18281651	18281660
chr1	157740301	157740610
chr7	42118001	42118160
chr4	156717201	156717510
chr11	74198951	74199310
chr9	104073951	104074360
chr22	21458501	21458710
chr7	17980901	17981010
chr2	163137301	163137460
chr1	152370101	152370210
chr3	56285351	56285810
chr4	140538951	140539160
chr7	129723901	129724310
chr1	218344601	218345110
chr3	71505501	71505510
chr13	97610501	97611010
chr18	52338501	52338910
chr1	166448201	166448760
chr1	179807551	179807810
chr14	69567951	69568410
chr3	77208451	77208710
chr2	7171951	7172060
chr6	117721051	117721460
chr2	114165301	114165660
chr21	28104801	28105260
chr13	71369801	71369810
chr7	81157151	81157260
chr8	124484351	124484710
chr5	7897101	7897510
chr12	14058901	14059010
chr1	204494151	204494460
chr12	33781151	33781310
chr10	62784501	62784860
chr8	122842151	122842760
chr5	177978051	177978510
chr6	75284551	75284910
chr15	93340301	93340810
chr3	140298251	140298360
chr1	201851751	201852210
chr1	63314751	63315060
chr15	92850051	92850160
chr10	59777601	59777810
chr1	201258901	201259360
chr4	10188301	10188660
chr7	123792901	123793260
chr8	13235151	13235560
chr1	181552751	181553160
chr9	83789101	83789210
chr6	114417701	114418110
chr12	38938551	38938760
chr8	96861301	96861660
chr5	142100551	142100960
chr9	19372001	19372210
chr2	28886451	28886460
chr9	75665201	75665210
chr17	36972151	36972410
chr1	200726451	200726610
chr17	11812801	11812910
chr10	50369651	50369960
chr11	118135051	118135310
chr11	100800901	100801310
chr7	24921351	24921560
chr17	77848101	77848560
chr15	74228701	74228910
chr10	85752151	85752560
chr12	19376001	19376360
chr1	27336501	27336710
chr15	71865101	71865510
chr6	106829851	106830160
chr1	46474351	46474460
chr9	13485101	13485360
chr2	211367701	211368160
chr4	139602101	139602560
chr8	41744301	41744460
chr4	27049901	27050410
chr19	55850601	55850860
chr12	27016501	27016810
chr7	34130951	34131310
chr10	86425601	86426010
chr8	17581751	17582160
chr10	100436851	100437010
chr8	38899401	38899810
chr10	106409851	106410210
chr12	89898501	89898610
chr12	89340251	89340410
chr14	105478551	105478860
chr5	78998701	78999110
chr9	38133701	38133910
chr20	58612201	58612410
chr1	178737451	178737860
chr4	158913201	158913610
chr5	51989101	51989510
chrX	106785751	106786060
chr1	68907851	68907960
chr4	185321651	185321960
chr12	80806101	80806560
chr5	135443951	135444210
chr12	58570101	58570410
chr4	121077251	121077660
chrX	56260351	56260660
chr17	3747201	3747610
chr14	69941851	69942260
chr10	21448851	21448910
chr12	120218601	120219060
chr16	72100551	72100960
chr11	65652001	65652610
chr4	81136551	81137010
chr1	40998451	40998910
chr3	18988051	18988360
chr1	93459651	93460060
chr4	44212951	44213010
chr1	159821201	159821560
chr4	10895201	10895310
chr12	48111301	48111660
chr4	73816901	73817210
chr16	77633701	77634160
chr15	33452351	33452510
chr2	219381401	219381660
chr5	58484201	58484660
chr2	86902801	86903160
chr2	52022701	52023010
chr1	200771901	200772560
chr5	137259751	137259810
chr15	65504451	65504810
chr1	38157851	38158210
chr6	5078601	5078860
chr21	34978101	34978510
chr1	205557151	205557210
chr14	23067701	23068060
chr10	99038201	99038660
chr13	86471251	86471560
chr7	148906701	148907060
chrX	107956201	107956410
chr5	149145501	149145910
chr1	74140601	74141010
chr5	132686751	132686810
chr1	222732701	222732760
chr10	14286301	14286360
chr6	118401751	118402010
chr1	52234601	52235060
chr4	104020901	104021360
chr1	162209651	162210010
chrX	77359351	77359810
chr14	89195551	89195810
chr1	192443151	192443710
chr1	164899551	164899810
chr14	80010301	80010660
chr1	209722951	209723260
chr9	7511251	7511310
chr20	2003901	2004110
chr4	79873001	79873410
chr7	107365551	107365960
chr6	19433001	19433010
chr1	158065451	158066010
chr9	117932951	117933060
chr8	96902751	96903160
chr2	43040101	43040660
chr7	40743901	40744010
chr7	106420401	106420760
chr4	16027751	16028210
chr1	224019401	224019610
chr20	17517551	17518010
chr9	92509651	92509710
chr8	142147901	142148310
chr11	66360151	66360560
chr16	76699801	76700160
chr15	52069051	52069660
chr4	13432901	13433260
chr1	154456901	154457060
chr16	19191201	19191610
chr6	21597201	21597610
chr1	233500301	233501010
chr7	77325551	77325960
chr8	131694751	131694910
chr7	101959001	101959360
chr13	25439301	25439610
chr2	46592001	46592460
chr4	155271001	155271360
chr2	113717951	113718060
chr2	238074001	238074410
chr8	120221601	120221710
chr8	102169851	102170110
chr3	77369601	77370160
chr2	181224251	181224610
chr5	166999651	166999660
chr5	125706001	125706260
chr5	168516401	168516760
chr18	48848251	48848560
chr10	89575951	89576260
